Time_s	Speed_km/h
0	0
1	0
2	0
3	0.0706331
4	0.135426
5	0.19456
6	0.23459829059829
7	0.25425641025641
8	0.287863247863248
9	0.337401709401709
10	0.401401709401709
11	0.463897435897435
12	0.543384615384615
13	0.635692307692307
14	0.751145299145299
15	0.87842735042735
16	1.01435897435897
17	1.16581196581197
18	1.32841025641026
19	1.49928205128205
20	1.6842735042735
21	1.87805128205128
22	2.08878632478632
23	2.31740170940171
24	2.56430769230769
25	2.84222222222222
26	3.1499829059829
27	3.47292307692307
28	3.82738461538461
29	4.23535042735043
30	4.70410256410256
31	5.23582905982906
32	5.85610256410256
33	6.56560683760684
34	7.34615384615384
35	8.18977777777778
36	9.07005128205128
37	9.98933333333333
38	10.9302222222222
39	11.8902564102564
40	12.8404444444444
41	13.7805811965812
42	14.7011282051282
43	15.5887521367521
44	16.4343247863248
45	17.2209230769231
46	17.9367521367521
47	18.5836923076923
48	19.1604444444444
49	19.6660512820513
50	20.1103931623932
51	20.4957264957265
52	20.8136068376068
53	21.0830769230769
54	21.3033162393162
55	21.4752136752137
56	21.6105641025641
57	21.702735042735
58	21.7476581196581
59	21.7397948717949
60	21.6863247863248
61	21.5933333333333
62	21.482188034188
63	21.3690598290598
64	21.2441367521367
65	21.1050256410256
66	20.9445128205128
67	20.7652991452991
68	20.6004444444444
69	20.4531282051282
70	20.3227692307692
71	20.2166837606838
72	20.1591111111111
73	20.1532991452991
74	20.2013333333333
75	20.293811965812
76	20.4179829059829
77	20.5603418803419
78	20.7062222222222
79	20.8496752136752
80	21
81	21.1409572649573
82	21.2847521367521
83	21.4370256410256
84	21.608
85	21.7920341880342
86	21.9768888888889
87	22.1698461538461
88	22.3578803418803
89	22.5095384615385
90	22.6386666666667
91	22.741641025641
92	22.833641025641
93	22.925641025641
94	22.9980854700855
95	23.0322393162393
96	23.032547008547
97	23.0054017094017
98	22.9342222222222
99	22.8124444444444
100	22.6263247863248
101	22.3846153846154
102	22.0931282051282
103	21.7565811965812
104	21.4004102564102
105	21.026735042735
106	20.6603076923077
107	20.3174017094017
108	20.0007863247863
109	19.721641025641
110	19.4821538461538
111	19.2809230769231
112	19.1522051282051
113	19.0890256410256
114	19.0811623931624
115	19.118188034188
116	19.181264957265
117	19.253094017094
118	19.3213333333333
119	19.3820170940171
120	19.4184273504273
121	19.4116923076923
122	19.3509743589743
123	19.2131282051282
124	19.0072136752137
125	18.7363076923077
126	18.4247863247863
127	18.0801367521367
128	17.7159658119658
129	17.3615384615385
130	17.030905982906
131	16.7424273504273
132	16.4929572649573
133	16.2967179487179
134	16.1683418803419
135	16.1083760683761
136	16.1218803418803
137	16.1953162393162
138	16.321094017094
139	16.4964786324786
140	16.7147692307692
141	16.9829401709402
142	17.294735042735
143	17.6328205128205
144	17.9955213675214
145	18.3585641025641
146	18.7062222222222
147	19.0805128205128
148	19.4536068376068
149	19.8379487179487
150	20.2284102564102
151	20.6081367521367
152	20.9742905982906
153	21.3424957264957
154	21.7120341880342
155	22.0563760683761
156	22.3320341880342
157	22.5395555555555
158	22.6550427350427
159	22.6391452991453
160	22.4435555555555
161	22.0399658119658
162	21.409094017094
163	20.5688205128205
164	19.5330256410256
165	18.3118632478632
166	16.9139487179487
167	15.3813333333333
168	13.7507008547008
169	12.0791452991453
170	10.4069743589744
171	8.78030769230769
172	7.24594871794871
173	5.80396581196581
174	4.48663247863248
175	3.32410256410256
176	2.32581196581196
177	1.51705982905983
178	0.90013675213675
179	0.454427350427349
180	0.176512820512819
181	0.0347692307692297
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0.0875
205	0.175
206	0.351726495726495
207	0.420717948717948
208	0.545846153846153
209	0.739999999999999
210	1.01811965811966
211	1.38235897435897
212	1.83483760683761
213	2.39340170940171
214	3.06769230769231
215	3.86420512820513
216	4.76458119658119
217	5.75555555555555
218	6.83104273504273
219	7.98266666666666
220	9.19405128205128
221	10.4430085470085
222	11.7034871794872
223	12.941641025641
224	14.1310769230769
225	15.2493333333333
226	16.3011282051282
227	17.2648888888889
228	18.1185641025641
229	18.8631794871795
230	19.5222222222222
